id,trigger,conditions,script,text,options,notes
greetingEterraHostileWeaker,OpenCommLink,"$faction.id == UTFE
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"The screen flickers on, a nervous face broadcasted, then: ""Didn’t expect you... what do you want?""
OR
The screen lights up, $hisOrHer voice unsteady beneath a thin smile: ""$personName here. Let’s... keep this civil.""
OR
The feed stabilizes with visible hesitation: ""$personRank $personName. I’m listening, no tricks.""
OR
The transmission crackles, a wary tone follows: ""You’ve made your point, $playerSirOrMadam. Just do what you came to do.""
OR
The image resolves, and $hisOrHer shoulders tense: ""We don’t have to escalate this... do we?""
OR
The screen steadies, $hisOrHer eyes flicking off-screen: ""$personName. Let’s be professional.""
OR
A pause before the signal comes through, voice tight: ""$playerName. I’d prefer you let me pass.""
OR
The connection opens, $hisOrHer posture visibly guarded: ""If you’re here to push, $playerSirOrMadam... $theFaction stands behind me.""
OR
The interface stabilizes, $hisOrHer voice lower than usual: ""You’re not here for blood, right? There’s other options...""
OR
The broadcast engages, the words rushed and tense: ""No sudden moves, $playerSirOrMadam. Say what you need.""",,
greetingEterraHostileWeakerDefiant,OpenCommLink,"$faction.id == UTFE
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The screen flickers on, $hisOrHer posture sharp: ""If you want control, you’ll have to take it."" The comlink cuts.
OR
The screen lights up briefly, $hisOrHer glare says enough. The transmission ends without a word.
OR
The feed stabilizes; $heOrShe scoffs: ""You're no better than a pirate.""
OR
The image resolves, $hisOrHer voice flat: ""$playerSirOrMadam, $theFaction doesn't bend."" The screen cuts mid-transmission.
OR
The connection opens, no image, only the voice, and only a message before the feed cuts: ""If you're here to intimidate, you're late.""
OR
$hisOrHer face flickers into view, visibly defiant: ""$playerSirOrMadam. I'm not here to beg."" The feed is killed.
OR
No face, no name. Just this: ""You’re not the only one with options."" The link drops abruptly.
OR
A static-warped voice cuts in: ""Whatever you're expecting, don't."" The comlink cuts.",cutCommLink:Cut the comm link,
greetingEterraHostileStronger,OpenCommLink,"$faction.id == UTFE
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"The screen steadies, no introduction: ""Negotiation implies you have leverage."" Click.
OR
The screen lights up, $hisOrHer expression unreadable: ""You're not in a position to request anything, $playerSirOrMadam."" The signal ends cleanly.
OR
The feed stabilizes; $heOrShe barely glances at the camera: ""$personName. You know how this ends."" The line cuts.
OR
A brief tone, followed by silence—then the transmission ends without a word.
OR
The connection opens mid-command: ""Log this as noncompliant. Proceed with enforcement."" The link severs.
OR
$hisOrHer face appears, relaxed, amused: ""You should’ve stayed on the right side of the market, $playerSirOrMadam."" Click.
OR
No introduction—only a dry voice: ""You had your chance."" The feed drops.
OR
$hisOrHer face fills the screen, calm and cruel: ""We’re done talking."" The channel goes black.
OR
The screen lights up, $heOrShe smiles faintly: ""It’s rare we get to be direct. I enjoy it."" No reply. Signal ends.
OR
The transmission comes through clean, clinical: ""This channel is unnecessary."" Cut.",cutCommLink:Cut the comm link,
greetingEterraNeutral,OpenCommLink,"$faction.id == UTFE
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","The screen flickers on, a reserved face broadcasted, then: ""Yes, $playerSirOrMadam?""
OR
The screen lights up, $hisOrHer expression unreadable: ""$personName here. You have business?""
OR
The feed stabilizes with a low hum: ""$personRank $personName. What do you need, $playerSirOrMadam?""
OR
The transmission crackles briefly, then clears: ""Go ahead, $playerSirOrMadam.""
OR
The image resolves, tone measured: ""You’re through. Make it count, $playerSirOrMadam.""
OR
The screen steadies, eyes focused and impassive: ""$personName. Proceed.""
OR
A faint delay precedes the voice, $hisOrHer mouth forms a trained smile: ""May I help you, $playerSirOrMadam?""
OR
The connection opens, voice clipped and direct: ""If this is official, state it. If not, get to the point.""
OR
The interface stabilizes with a faint hum: ""$personRank $personName. Listening.""
OR
The broadcast engages; there’s no change in expression: ""$playerSirOrMadam. Go on.""",,
,,,,,,
# Eterra Trade panel flavor text,,,,,,
flavorTextMarketEterra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == UTFE","AddText ""The concourse is clean, orderly, and unmistakably Federation—cargo lifts hum in regular intervals, and the UTFE emblem gleams from every customs checkpoint. Trade officials move with purpose between docks while contracted loaders work in modular sync to offload freighters. Digital kiosks track cargo flow with near-perfect precision. Occasional announcements remind crews to check their clearances before departure."" marketFlavorTextColor",,,
flavorTextMarketEterraSmall,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$marketSize < 4
$stability > 1
$faction.id == UTFE","AddText ""The concourse is compact but efficient, with UTFE banners displayed at regular intervals and modular containers lined in neat rows. Smaller freighters and licensed charters offload under the watch of quiet, organized inspection crews. Trade is subdued but consistent, and official signage reminds visitors that all docking windows are subject to review."" marketFlavorTextColor",,,
flavorTextMarketEterraUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 1
$faction.id == UTFE","AddText ""The concourse operates under reduced staffing, but the Federation banners still hang, flanked by automated inspection drones. Trade traffic is light, and the flow of cargo is carefully controlled through sealed lanes. Officials seem tense—every movement checked twice, every manifest verified aloud. A notice loop reminds visitors that temporary restrictions are in place 'for systemic integrity.'"" marketFlavorTextColor",,,
flavorTextMarketEterraVeryUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 0
$faction.id == UTFE","AddText ""The concourse feels hollow, with flickering UTFE signage and half-manned checkpoints behind sealed barriers. Only a few ships dock—most under escort—and the offloading process is slow, tense, and watched by armed security. Clearance procedures have been replaced by spoken orders and ID scans at rifle-point. A repeating tone plays from damaged loudspeakers: 'Maintain corridor discipline. Your cooperation preserves stability.'"" marketFlavorTextColor",,,
,,,,,,
# Eterra relationship level descriptions,,,,,,
relLevelCooperativeEterra,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Your record shows consistent alignment with Federation priorities. You are considered a trusted external agent, and access to high-level support or infrastructure may be granted with minimal oversight. Strategic planners reference your activity in favorable terms. Internal communications suggest you may be quietly treated as an unofficial extension of the system.",,
relLevelFriendlyEterra,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == UTFE",FireAll RelLevelMoreDescription,"You are viewed as a valuable and reliable partner. UTFE personnel are encouraged to extend logistical or diplomatic courtesies when appropriate. Your presence is known, noted, and largely welcomed throughout most systems. Several branches consider your continued activity a net gain to regional operations.",,
relLevelWelcomingEterra,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Federation officers and trade coordinators recognize you as a positive force. While you hold no formal privileges, communication and access proceed with minimal resistance. You are seen as predictable and broadly beneficial. Informal paths may open in places where protocol allows discretion.",,
relLevelFavorableEterra,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Relations are smooth, if not yet strategic. You are generally respected, occasionally referenced, and unlikely to face administrative resistance. Useful, but not yet vital. Given time or further alignment, this could develop into deeper access.",,
relLevelNeutralEterra,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Your activities have raised neither concern nor confidence. Federation systems will process you efficiently, without favor or prejudice. Access is permitted, but nothing is extended beyond baseline protocols. Your name appears on no special lists—good or bad.",,
relLevelSuspiciousEterra,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == UTFE",FireAll RelLevelMoreDescription,"You are operating near the edge of tolerance. Patterns in your activity have prompted review, and while no direct action is warranted, internal advisories recommend caution. You are no longer overlooked. Interactions may be logged for further assessment.",,
relLevelInhospitableEterra,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Your presence is unwelcome across most Federation channels. You are blocked from standard access, and your movements are routinely logged. No aid is to be offered unless mandated by regulation. Crews are instructed to minimize contact unless required by law or fleet standing orders.",,
relLevelHostileEterra,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Your actions have harmed Federation assets or personnel, directly or through affiliation. Defensive protocols will be triggered upon detection, and you will receive no communication beyond operational necessity. You are treated as an immediate tactical risk. Where possible, response forces are granted autonomous authority.",,
relLevelVengefulEterra,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == UTFE",FireAll RelLevelMoreDescription,"Your actions have directly compromised the Federation’s integrity or personnel. Retaliatory efforts are likely already underway, and negotiation is no longer considered viable. There is no expectation of reconciliation. You and your $shipOrFleet are considered a threat worth dealing with now rather than later.",,
#relLevelEterraBaird,RelLevelMoreDescription,"$faction.id == UTFE
$global.gaKA_completed",,You are known to have performed work for Provost Baird of the Galatia Academy.,,
,,,,,,
,,,,,,
,,,,,,
#Voice Soldier -> SAIC,,,,,,
convDefaultGreetingSAIC,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIC","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""$PlayerName identified. You have reached $Post, $PlayerName, input request.""
OR
After a short wait, your connection request is accepted.

""$Post has accepted comms, $PlayerName, please input your request.""",,
convDefaultGreeting2SAIC,PickGreeting,"$contact_printedFirstReturnGreeting
$voice == SAIC","ShowPersonVisual
FireAll PopulateOptions","""$Post has accepted comms, $PlayerName, please input your request.""",,
#convPlayerKnowsTJGreetingSAIC,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIC","$reactedPlayerKnowsTJ = true 90
$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""$Post has accepted comms, $PlayerName, please hold.""

""Your $shipOrFleet identified with anomalous hyperspace maneuvers. No further action.""

""$Post accepts further communication, please input your request.""",,
contactGreetingSAIC,PickGreeting,"MissionHubCMD hasHub
$voice == SAIC","ShowPersonVisual
FireAll PopulateOptions","""$PersonRank has accepted comms, my identifier is $personName. Please input your request.""
OR
""Connection is stable, $PersonRank has accepted. What is your query?""
OR
""Line is secure, $PersonRank has accepted. What is your request""",,
contactPrintAcceptTextSAIC,ContactPrintAcceptText,$voice == SAIC,,"$personName makes positive beeping noises, ""I will await your return.""
OR
""Operation is confirmed, you are wished good luck,"" $heOrShe says.
OR
$HeOrShe nods, ""Confirmed, carry out what's needed.""",,
CBDeserterSAIC,CBDeserterOfferDesc,$voice == SAIC,Highlight $bcb_dist $bcb_reward $bcb_days,"""Identified rogue element, information loading stand-by.""

""Rogue element, $thePersonFaction has been located in $bcb_systemName, aprox $bcb_dist light-years away.""

""Current reward amount is $bcb_reward credits, time limit $bcb_days days. Do you accept this task?""",,
LOCRPimprisonPiratesSAIC,DialogOptionSelected,"$option == locrp_imprisonPirates
$voice == SAIC",,"""$Post has identified pirates in your custody. Transfer arrangements confirmed. Follow instructions and have a safe day.""

Your comms are swiftly transferred to a security droid who makes further arrangements.",locrp_imprisonPirates2:Continue,
,,,,,,
#Voice Business -> SAIB,,,,,,
convDefaultGreetingBusiness,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIB","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""Greetings, $PlayerName. You have reached $personName, I await whatever request you have.""",,
convDefaultGreeting2business,PickGreeting,"$contact_printedFirstReturnGreeting
$voice == SAIB","ShowPersonVisual
FireAll PopulateOptions","""Yes, do you need anything more?"" $HeOrShe says. ""I am awaiting anything you request.""",,
buyHTDataConfirmSelBusiness,DialogOptionSelected,"$option == buyHTDataConfirm
$voice == SAIB","AddCredits -$ht_dataCost
$entity.boughtHTData = true 60
HT_CMD getScavengerData
FireAll PopulateOptions","""Your deal is confirmed, payment pending. Standby,"" after a moment, once payment is confirmed, a datastream transfers the agreed-upon hyperspace and slipstream data.

""$personName thanks you for your business, have a good day.""",,
buyHTDataNeverMindSelBusiness,DialogOptionSelected,"$option == buyHTDataNeverMind
$voice == SAIB",FireAll PopulateOptions,"""There is no rush or push, your position is respected,"" $heOrShe says.",,
#convPlayerKnowsTJGreetingBusiness,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIB","$reactedPlayerKnowsTJ = true 90
$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""Greetings, $PlayerName."" $PersonName looks up from something, ""I see your $shipOrFleet has apparently done some interesting hyperspace maneuvers. Must trade easier, yes?""

""So, do you need anything more?"" $HeOrShe says,""I am awaiting anything you request.""",,
contactGreetingBusiness,PickGreeting,"MissionHubCMD hasHub
$voice == SAIB","ShowPersonVisual
FireAll PopulateOptions","""Greetings, you are back,"" says $personName. ""Should we get down to business?""
OR
""Good to see you, $PlayerName."" $personName tilts their head, ""Anything new?""",,
contactPrintAcceptTextBusiness,ContactPrintAcceptText,$voice == SAIB,,"""This exchange will profit us both, captain,"" $heOrShe says.
OR
""The deal is positive and sealed, I will await your confirmation.""
OR
""Always a pleasure doing business,"" $heOrShe says.
OR
""I wish you luck in your future endeavors,"" $heOrShe says.",,
LOCRPimprisonPiratesBusiness,DialogOptionSelected,"$option == locrp_imprisonPirates
$voice == SAIB",,"""Pirates, you say?"" $Post $personLastName, ""Cleaning them up is always a positive for profits and for business. I will transfer you to someone who can make further arrangements.""

$HeOrShe has you wait as your comms are forwarded to a security droid.",locrp_imprisonPirates2:Continue,
,,,,,,
,,,,,,
,,,,,,
#Voice Aristo -> SAIM,,,,,,
convDefaultGreetingAristo,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIM","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""Salutations dear captain. What brings you to me?""
OR
After a short wait, your connection request is accepted.

""Why hello, aren't you just a character."" $HeOrShe looks at you expectantly. ""Did I hire you for something or other?""
OR
The comms resolve to $personName's face - distracted by something off-display. ""Oh you've interrupted- well, fine, fine. The damage is done.""

""You!"" This, said to someone off-display, ""You can finish up later, I must take this.""

$PersonName turns to you finally, ""-Well go on, what could be so important?""",,
convDefaultGreeting2aristo,PickGreeting,"$contact_printedFirstReturnGreeting
$voice == SAIM","ShowPersonVisual
FireAll PopulateOptions","""Yes? I expect there's something more you need, isn't there.""",,
buyHTDataConfirmSelAristo,DialogOptionSelected,"$option == buyHTDataConfirm
$voice == SAIM","AddCredits -$ht_dataCost
$entity.boughtHTData = true 60
HT_CMD getScavengerData
FireAll PopulateOptions","The $post nods approval as your payment is transferred, ""A fine move, my good captain,"" $heOrShe says, then executes the datastream to transfer the agreed-upon hyperspace and slipstream data.",,
buyHTDataNeverMindSelAristo,DialogOptionSelected,"$option == buyHTDataNeverMind
$voice == SAIM",FireAll PopulateOptions,,,
#convPlayerKnowsTJGreetingAristo,PickGreeting,"!$contact_printedFirstReturnGreeting
$voice == SAIM","$reactedPlayerKnowsTJ = true 90
$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","After a short wait, your connection request is accepted.

""Salutations captain,"" $heOrShe glances at you, then away, then back again in earnest. ""Captain $playerName! Why, are you not the one hopping to and fro across hyperspace? Of course you are!""

Then, more to $himOrHerself, $heOrShe says ""My stars, this should provide a diverting anecdote.""

$personName looks to you impatiently. ""Well do go on, $playerSirOrMadam. My attention is yours.""",,
contactGreetingAristo,PickGreeting,"MissionHubCMD hasHub
$voice == SAIM","ShowPersonVisual
FireAll PopulateOptions","""Oh, it's the space captain, how delightful"" says $personName. ""Speaking with you is always so colorful.""",,
contactPrintAcceptTextAristo,ContactPrintAcceptText,$voice == SAIM,,"""What a delightful little exchange, captain.""
OR
""Thank you, captain,"" $heOrShe smiles, ""This will make for a most amusing anecdote.""
OR
""What fun! This must be what it's like to work for a living.""
OR
""Splendid! How did I do?"" $HeOrShe asks, seeming not to await an answer, ""This is just as diverting as my uncle said it would be.""
OR
""Oh, yes. Father would approve, I think.""
OR
""Quite right, then!"" $HeOrShe says. ""Mother would be proud.""",,
proComBlurbAristo,proCom_blurb,$voice == SAIM,,"""The family decided that I must 'demonstrate initiative' by procuring a cargo of $proCom_commodityName. Perhaps I could pay you to solve this little conundrum.""",,
hmdfBlurbAristo,hmdf_blurb,$voice == SAIM,,"""Father has demanded I rid myself of an old freighter I've been meaning to fix up, he says it's taking up valuable space in his orbital hangar. I think he's being tremendously unfair. Perhaps you could take it?""",,
hmdfOfferTextContactAristo,DialogOptionSelected,"$option == hmdf_start
$voice == SAIM","$missionId = hmdf
SetTextHighlights $hmdf_price","""It's a vintage $hmdf_hullClass freighter, and I was told by the seller that it's seen some real adventures. Terribly exciting, I feel, and it'd have made a fabulous conversation piece once I got it fixed up. There's always something coming up, however.""

""I suppose I ought to make you pay for it to 'develop my business sense', as father put it. How much does a freighter cost, anyway. $hmdf_price credits, perhaps?""","hmdf_look:Ask for detailed info on the freighter
contact_decline:Decline",
hmdfLookAtFreighterAristo,DialogOptionSelected,"$option == hmdf_look
$voice == SAIM","Call $hmdf_ref showShip
DoCanAffordCheck $hmdf_price contact_accept false","$personName taps a few buttons to pull up the freighter schematics for your examination.

""I was thinking to augment the engines and install black market safety overrides to compel some utterly thrilling burn speeds. Don't tell father my plan, he'd be simply wroth.""","contact_accept:Buy the freighter for $hmdf_price credits
contact_decline:Decline",
CBPirateAristo,CBPirateOfferDesc,$voice == SAIM,Highlight $bcb_dist $bcb_reward $bcb_days,"$HeOrShe taps on one of the entries to enlarge the report. A face scowls at you from an arrest record holo.

""This charming individual believes they're some kind of pirate."" $PersonName gets a carnivorous look in $hisOrHer eyes, ""$bcb_TargetHeOrShe stole from me. This is unacceptable."" $HeOrShe leans back, casually, ""The lost credits are irrelevant, of course. What's important is the message such brigandage sends. We can't simply have pirates stealing the hard-earned wealth from those who rightfully possess it.""

""The target is hiding in the $bcb_systemName which is $bcb_dist light-years distant. I shall reward you with $bcb_reward credits once you have put down the menace and I shall give you $bcb_days days to do so. Are we agreed?""",,
CBPather1Aristo,CBPatherOfferDesc,$voice == SAIM,Highlight $bcb_dist $bcb_reward $bcb_days,"""Ah, this one, yes,"" $heOrShe pulls up an intel file. ""An adherent of the so-called 'Luddic Path'. Believes we'd all be better off smashing our computers and living in caves or some nonsense. You wouldn't believe the damage they cause when they can bring themselves to apply technology to meet their goals. This one is hiding out in the $bcb_systemName, $bcb_dist light-years away, and has caused great personal offense.""

""I shall provide a reward of $bcb_reward credits for taking care of this fanatic. You'd have $bcb_days days to complete the mission.""",,
LOCRPimprisonPiratesAristo,DialogOptionSelected,"$option == locrp_imprisonPirates
$voice == SAIM",,"""Oh, delightful; another disgusting herd of space trash come to smear grime on everything they don't steal."" $Post $personLastName frowns dramatically, ""Well, we know how to treat the criminal element here, trust me on that. I'll have my subordinate handle the mess.""

$HeOrShe has you wait as your comms are transferred to a security officer.",locrp_imprisonPirates2:Continue,
